,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
203,0.017,0.282,0.24,0.562,0.7010000000000001,0.78,0.181,0.275
204,0.097,0.385,0.253,0.373,0.738,0.704,0.267,0.262
205,0.164,0.243,0.404,0.511,0.8029999999999999,0.755,0.4569999999999999,0.203
206,0.142,0.277,0.294,0.593,0.645,0.762,0.317,0.261
207,0.332,0.3299999999999999,0.25,0.4559999999999999,0.881,0.658,0.428,0.365
208,0.203,0.558,0.3429999999999999,0.797,0.6539999999999999,0.766,0.238,0.255
209,0.305,0.374,0.216,0.741,0.708,0.905,0.53,0.372
210,0.312,0.409,2.191,0.651,0.44,0.8200000000000001,0.3399999999999999,0.334
211,0.806,0.374,0.2179999999999999,0.544,0.581,0.8915,0.312,0.469
212,0.454,0.25,0.194,0.521,0.613,0.9685,0.363,0.332
213,0.7170000000000001,0.367,0.1169999999999999,0.582,0.5660000000000001,1.081,0.376,0.482
214,0.7989999999999999,0.349,0.157,0.7949999999999999,0.6619999999999999,0.833,0.3429999999999999,0.419
215,0.402,0.5409999999999999,0.388,0.8240000000000001,0.7989999999999999,0.946,0.276,0.501
216,0.224,0.3419999999999999,0.269,0.673,0.8480000000000001,0.97,0.3399999999999999,0.473
217,0.263,0.368,0.204,0.554,0.773,0.916,0.395,0.414
218,0.348,0.453,0.155,0.7815000000000001,0.768,1.012,0.174,0.419
219,0.269,0.649,0.212,0.875,0.6719999999999999,0.915,0.276,0.419
220,0.18,0.417,0.251,0.7909999999999999,0.772,1.035,0.141,0.351
221,0.235,0.444,0.186,0.556,0.588,0.792,0.194,0.391
222,0.224,0.2769999999999999,0.153,0.5940000000000001,0.6579999999999999,1.032,0.284,0.3259999999999999
223,0.369,0.47,0.24,0.472,0.815,3.082,0.303,0.478
224,0.351,0.374,0.318,0.698,0.795,2.104,0.302,0.269
225,0.4359999999999999,0.2515,0.15,0.721,0.8280000000000001,0.921,0.071,0.283
226,0.456,0.448,0.043,0.772,0.63,1.17,0.0,0.254
227,0.347,0.435,0.018,0.494,0.758,0.923,0.01,0.4649999999999999
228,0.4485,0.326,0.011,0.6339999999999999,0.8360000000000001,0.995,0.111,0.409
229,0.461,0.449,0.047,0.6799999999999999,0.8320000000000001,0.934,0.036,0.368
230,0.542,0.387,0.36,0.747,0.831,0.984,0.0279999999999999,0.307
231,0.428,0.278,0.178,0.609,0.857,1.27,0.011,0.311
232,0.4669999999999999,0.193,0.038,0.592,0.806,1.245,0.0349999999999999,0.211
233,0.4679999999999999,0.351,0.03,0.7030000000000001,0.742,1.137,0.0269999999999999,0.14
234,0.353,0.249,0.155,0.611,0.5840000000000001,1.168,0.0,0.3419999999999999
235,0.335,0.25,0.009,0.8140000000000001,0.671,0.884,0.021,0.164
236,0.274,0.139,0.058,0.704,0.783,0.5880000000000001,0.048,0.149
237,0.241,0.185,0.007,0.631,0.733,0.505,0.023,0.125
238,0.209,0.03,0.0,0.657,0.762,0.306,0.009,0.059
239,0.465,0.024,0.0,0.563,0.78,0.524,0.0,0.037
240,0.401,0.152,0.0,0.6859999999999999,0.914,0.424,0.0209999999999999,0.113
241,0.271,0.127,0.018,0.742,0.817,0.26,0.045,0.021
242,0.365,0.182,0.426,0.745,0.666,0.294,0.0209999999999999,0.002
243,0.378,0.154,0.026,0.731,0.749,0.17,0.012,0.02
244,0.367,0.118,0.0,0.7789999999999999,0.778,0.194,0.053,0.007
245,0.442,0.0819999999999999,0.031,0.73,0.815,0.095,0.033,0.073
246,0.321,0.041,0.004,0.696,0.936,0.121,0.014,0.015
247,0.4609999999999999,0.035,0.0,0.813,1.079,0.207,0.017,0.007
248,0.261,0.011,0.0,0.778,0.872,0.201,0.0,0.0
249,0.29,0.0,0.0,0.74,0.849,0.181,0.014,0.023
250,0.28,0.016,0.0,0.7829999999999999,0.839,0.215,0.02,0.004
251,0.208,0.0,0.074,0.881,0.7789999999999999,0.125,0.055,0.014
252,0.195,0.0,0.043,0.943,0.746,0.184,0.024,0.0139999999999999
253,0.153,0.0,0.0829999999999999,0.846,0.9,0.169,0.016,0.0
254,0.087,0.009,0.371,0.8320000000000001,0.851,0.224,0.069,0.0
255,0.04,0.0,0.0,0.8240000000000001,0.863,0.244,0.073,0.002
256,0.0,0.0,0.0,2.4370000000000003,0.794,0.199,0.052,0.006
257,0.0,0.0,0.011,0.817,0.859,0.168,0.03,0.009
258,0.003,0.0,0.021,0.998,0.975,0.1999999999999999,0.009,0.005
259,0.0,0.0,0.017,1.134,0.967,0.171,0.0209999999999999,0.03
260,0.008,0.022,0.065,1.15,0.617,0.118,0.044,0.054
261,0.01,0.003,0.003,1.025,0.653,0.203,0.032,0.046
262,0.0,0.0,0.045,1.21,0.5640000000000001,0.093,0.023,0.024
263,0.023,0.0,0.007,1.231,0.484,0.086,0.004,0.013
264,0.0,0.057,0.017,1.262,0.74,0.158,0.009,0.045
265,0.014,0.0,0.0,1.2480000000000002,0.648,0.15,1.974,0.02
266,0.0,0.0,0.014,1.294,0.77,0.108,2.569,0.03
267,0.0,0.0,0.03,1.155,0.555,0.108,2.215,0.008
268,0.009,0.023,0.123,1.238,0.6,0.153,1.635,0.028
269,0.047,0.0,0.017,0.968,1.088,0.071,0.095,0.011
270,0.005,0.044,0.0,1.1920000000000002,0.753,0.043,0.002,0.003
271,0.005,0.023,0.0,1.042,0.743,0.098,0.016,0.012
272,0.103,0.02,0.025,0.742,0.767,0.075,0.035,0.016
273,0.024,0.0,0.0,0.798,0.638,0.055,0.0,0.034
274,0.0,0.002,0.022,0.8,0.8819999999999999,0.031,0.017,0.038
275,0.039,0.018,0.0,0.934,0.649,0.048,0.008,5.384
276,0.022,0.029,0.0,0.93,0.808,0.201,0.022,1.318
277,0.009,0.0,0.049,0.823,0.896,0.161,0.0,0.018
278,0.007,0.005,0.045,0.825,0.6709999999999999,0.16,0.0,5.6930000000000005
279,0.0279999999999999,0.015,0.023,0.81,0.837,0.113,0.0,0.709
280,0.042,0.02,0.025,0.977,1.299,0.155,0.0,3.327
281,0.055,0.0,0.019,0.794,1.152,0.229,0.027,0.609
282,0.026,0.003,0.0,0.7909999999999999,1.277,0.18,0.0,0.0
283,0.0,0.0,0.0,0.78,1.392,0.166,0.0,0.009
284,0.009,0.0,0.017,0.655,2.091,0.157,0.0,0.0
285,0.0,0.0,0.022,0.552,2.048,0.145,0.0,0.0
286,0.014,0.022,0.0,0.497,1.661,0.124,0.0,0.0
287,0.012,0.0,0.0,0.6900000000000001,1.72,0.083,0.0,0.009
288,0.009,0.093,0.101,0.683,1.458,1.504,0.0,0.0
289,0.02,0.0,0.007,0.535,1.147,0.0,0.0,0.0
290,0.017,0.0,0.459,0.613,1.014,1.491,0.0,0.0
291,0.0209999999999999,0.0,0.005,0.678,0.762,2.181,0.007,0.014
292,0.0,0.0,0.0,0.417,0.913,0.173,0.0,0.0
293,0.025,0.019,0.025,0.451,0.508,0.101,0.022,0.0
294,0.0,0.031,0.019,0.6519999999999999,0.367,0.427,0.0,0.0
295,0.0,0.0,0.0,0.496,0.155,0.336,0.0,0.0
296,0.0,0.0,0.0,0.483,0.2279999999999999,0.211,0.0,0.0
297,0.008,0.0,0.052,0.369,0.19,0.2239999999999999,0.0,0.0
298,0.0,0.0,0.099,0.513,0.122,0.192,0.0,0.0
