"","time","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"156",2024-02-24 04:40:00,0.498,0.163333333333333,0.491666666666667,0.765,0.492,0.568333333333333,0.558,0.668,0.466,0.501666666666667
"157",2024-02-24 04:50:00,0.17,NA,0.452,0.47,0.426,0.684,0.394,0.724,0.828,0.232
"158",2024-02-24 05:00:00,1.442,NA,1.72,1.75833333333333,1.83333333333333,2.09,1.28666666666667,2.01833333333333,1.60666666666667,1.414
"159",2024-02-24 05:10:00,2.598,NA,2.564,2.658,3.14,2.518,2.358,3.132,2.94,2.614
"160",2024-02-24 05:20:00,0.338,NA,0.498,0.492,0.646,0.442,0.43,0.814,0.532,0.232
"161",2024-02-24 05:30:00,1.18,NA,1.276,1.876,1.66,1.754,1.52,1.908,1.654,1.174
"162",2024-02-24 05:40:00,5.354,NA,6.072,4.725,3.885,3.18,4.505,4.525,6.606,6.7025
"163",2024-02-24 05:50:00,0.602,NA,0.534,NA,NA,NA,NA,NA,0.64,NA
"164",2024-02-24 06:00:00,0.092,NA,0.16,NA,NA,0.473333333333333,NA,NA,0.17,NA
"165",2024-02-24 06:10:00,0.186,NA,NA,NA,NA,0.404,NA,NA,NA,NA
"166",2024-02-24 06:20:00,0.15,NA,NA,NA,NA,0.11,NA,NA,NA,NA
"167",2024-02-24 06:30:00,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2024-02-24 06:40:00,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2024-02-24 06:50:00,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2024-02-24 07:00:00,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2024-02-24 07:10:00,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2024-02-24 07:20:00,0,NA,NA,NA,NA,0.0625,NA,NA,NA,NA
"173",2024-02-24 07:30:00,5.718,NA,NA,NA,NA,5.366,NA,NA,NA,NA
"174",2024-02-24 07:40:00,0.64,NA,NA,NA,NA,0.25,NA,NA,NA,NA
"175",2024-02-24 14:50:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2024-02-24 15:00:00,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2024-02-24 15:10:00,0.094,NA,0.11,NA,0.155,0,NA,NA,0.09,NA
"178",2024-02-24 15:20:00,0,NA,0.042,NA,0.024,0,NA,NA,0,0.01
"179",2024-02-24 15:30:00,0.034,NA,0.004,0.05,0,0,0,0.28,0.068,0
"180",2024-02-24 15:40:00,0,NA,0,0,0.034,0.036,0,0.06,0.024,0.006
"181",2024-02-24 15:50:00,0,0,0,0,0,0,0,0.138,0,0.02
"182",2024-02-24 16:00:00,0.014,0.028,0,0,0.03,0.068,0.01,0.048,0.05,0.084
"183",2024-02-24 16:10:00,0.014,0.048,0,0.152,0.016,0,0.046,0.112,0.014,0
"184",2024-02-24 16:20:00,0.024,0.02,0.01,0.092,0.01,0.028,0.018,0.058,0.014,0.076
"185",2024-02-24 16:30:00,0.022,0.028,0.00333333333333333,0.006,0.04,0.0833333333333333,0,0.072,0.022,0.024
"186",2024-02-24 16:40:00,0,0.014,0.018,0.046,0.044,0,0,0.12,0.024,0
"187",2024-02-24 16:50:00,0,0.032,0.034,0.04,0.0233333333333333,0,0,0.162,0.008,0.02
"188",2024-02-24 17:00:00,0.01,0.038,0.088,0.04,0.082,0.048,0.022,0.058,0,0.004
"189",2024-02-24 17:10:00,0,0,0.014,0.00666666666666667,0,0,0.0283333333333333,0.00666666666666667,0,0
"190",2024-02-24 17:20:00,0.004,0.004,0,0,0.026,0.016,0,0.058,0,0
"191",2024-02-24 17:30:00,0,0,0,0,0,0,0.018,0.118,0.02,0
"192",2024-02-24 17:40:00,0.06,0.018,0,0.032,0,0,0.024,0.108,0.006,0.038
"193",2024-02-24 17:50:00,0,0,0.004,0.036,0,0,0,0.066,0.056,0
"194",2024-02-24 18:00:00,0,0,0.054,0.042,0.018,0,0,0.108,0.006,0.014
"195",2024-02-24 18:10:00,0,0,0,0.018,0,0,0.018,0,0.004,0.018
"196",2024-02-24 18:20:00,0,0,0,0,0,0.008,0,0,0,0
"197",2024-02-24 18:30:00,0,0,0,0,0,0,0,0,0,0
"198",2024-02-24 18:40:00,0,0,0,0,0,0,0,0,0,0
"199",2024-02-24 18:50:00,0,0,0.0166666666666667,0.056,0,0,0,0,0,0
"200",2024-02-24 19:00:00,0,0,0.046,0.01,0.088,0.018,0,0,0.036,0
"201",2024-02-24 19:10:00,0,0,0.072,0.101666666666667,0.122,0.096,0.116666666666667,0.0233333333333333,0.0666666666666667,0.028
"202",2024-02-24 19:20:00,0.04,0,0.376,0.126,0.336,0.264,0.184,0.092,0.39,0.078
"203",2024-02-24 19:30:00,0,0,0.166,0.182,0.388,0.336,0.236,0.1,0.238,0.218
"204",2024-02-24 19:40:00,0,0,0.146,0.156,0.522,0.144,0.14,0,0.336,0.174
"205",2024-02-24 19:50:00,0,0,0.05,0.01,0.194,0.154,0.124,0.02,0.208,0.094
"206",2024-02-24 20:00:00,0,0,0.044,0.168,0.13,0.18,0.05,NA,0.078,0.146
"207",2024-02-24 20:10:00,0,0,0.068,0.088,0.18,0.104,0.048,0,0.082,0.086
"208",2024-02-24 20:20:00,0.056,0.018,0.18,0.084,0.198,0.254,0.218,0.092,0.372,0.094
"209",2024-02-24 20:30:00,0,0,0.126,0.094,0.22,0.134,0.26,0.018,0.186,0.176
"210",2024-02-24 20:40:00,0,0,0.24,0.058,0.366,0.304,0.088,0.028,0.258,0.18
"211",2024-02-24 20:50:00,0,0,0.186666666666667,0.114,0.296,0.08,0.112,0.016,0.228,0.0783333333333333
"212",2024-02-24 21:00:00,0,0,0.066,0.014,0.204,0.154,0.098,0,0.182,0.112
"213",2024-02-24 21:10:00,NA,0,0.068,0.008,0.206666666666667,0.208,0.09,0,0.115,0.04
"214",2024-02-24 21:20:00,NA,0,0.164,0.098,0.252,0.104,0.06,0,0.166,0.046
"215",2024-02-24 21:30:00,0,0,0.146,0.0916666666666667,0.234,0.142,0.0566666666666667,0.022,0.112,0.106
"216",2024-02-24 21:40:00,0,0,0.128,0.062,0.266,0.126,0.054,0.004,0.164,0.078
"217",2024-02-24 21:50:00,0,0,0.188,0.114,0.148,0.14,0.12,0.094,0.2,0.096
"218",2024-02-24 22:00:00,0,0,0.11,0.05,0.056,0.04,0.006,0.294,0.07,0.018
"219",2024-02-24 22:10:00,0,0,0.086,0.09,0.068,0.078,0.022,0.104,0.138,0.044
"220",2024-02-24 22:20:00,0,0,0.062,0.018,0.094,0.058,0.052,0.058,0.034,0.05
"221",2024-02-24 22:30:00,0,0,0.044,0.094,0.064,0.072,0.058,0.04,0.034,0.016
"222",2024-02-24 22:40:00,0,0,0.0383333333333333,0.028,0.114,0.126666666666667,0.046,0.1,0.102,0.048
"223",2024-02-24 22:50:00,0,0,0.042,0.052,0.104,0.12,0.132,0,0.062,0.0116666666666667
"224",2024-02-24 23:00:00,0,0,0.018,0.018,0.11,0.036,0.048,0,0.054,0.004
"225",2024-02-24 23:10:00,0,0,0.09,0.066,0.296,0.074,0.066,0.132,NA,0.16
"226",2024-02-24 23:20:00,0,0,0.174,0.283333333333333,0.254,0.386,0.186666666666667,0.301666666666667,0.02,0.186
"227",2024-02-24 23:30:00,0,0,0.078,0.176,0.198,0.114,0.192,0.208,0.182,0.1
"228",2024-02-24 23:40:00,0,0,0.206,0.058,0.236,0.178,0.132,0.236,0.12,0.082
"229",2024-02-24 23:50:00,0,0.072,0.108,0.088,0.37,0.184,0.188,0.384,0.212,0.07
"230",2024-02-25,0.005,0.06,0.202,0.212,0.332,0.256,0.13,0.412,0.164,0.152
"231",2024-02-25 00:10:00,0,0.158,0.156,0.182,0.406,0.286,0.21,0.218,0.168,0.128
"232",2024-02-25 00:20:00,0.144,0.094,0.16,0.158,0.47,0.31,0.142,0.364,0.26,0.194
"233",2024-02-25 00:30:00,0.08,0.05,0.108,0.22,0.264,0.264,0.118,0.342,0.294,0.156
"234",2024-02-25 00:40:00,0.164,0.228,0.233333333333333,0.276,0.366,0.0333333333333333,0.19,0.42,0.266,0.15
"235",2024-02-25 00:50:00,0.518,0.426,0.684,0.43,0.514,0.384,0.204,0.618,0.716,0.428333333333333
"236",2024-02-25 01:00:00,0.958,0.858333333333333,1.06,0.934,1.17166666666667,1.058,0.968,1.354,1.2,0.918
"237",2024-02-25 01:10:00,1.278,1.376,1.384,0.908,1.778,1.254,0.834,1.23,1.666,1.208
"238",2024-02-25 01:20:00,2.718,2.55,2.312,2.61,2.492,2.39,2.69166666666667,2.91666666666667,2.58,2.202
"239",2024-02-25 01:30:00,2.004,2.184,2.366,NA,2.622,2.208,2.158,2.494,2.648,1.898
"240",2024-02-25 01:40:00,5.76,5.672,5.886,5.92,6.666,6.25,6.042,6.59,6.176,6.122
"241",2024-02-25 01:50:00,5.716,6.108,6.248,6.13,6.206,5.71,5.64,6.35,6.632,5.042
"242",2024-02-25 02:00:00,5.92,6.512,6.428,6.28,6.806,6.634,6.34,6.642,6.822,6.314
"243",2024-02-25 02:10:00,3.232,3.43,3.554,3.258,3.954,3.614,3.638,3.564,3.85,3.104
"244",2024-02-25 02:20:00,2.766,2.762,2.824,2.604,3.194,2.706,2.884,2.804,3.134,2.788
"245",2024-02-25 02:30:00,2.024,1.99,2.002,2.064,2.376,1.922,2.056,2.31,2.372,1.664
"246",2024-02-25 02:40:00,3.218,2.966,2.975,3.028,3.582,3.10333333333333,2.934,2.97,3.164,2.766
"247",2024-02-25 02:50:00,3.49,3.872,3.538,3.564,4.202,3.69,3.728,4.184,3.928,3.628
"248",2024-02-25 03:00:00,3.6,4.06,3.752,3.814,4.255,3.714,3.686,4.132,4.07166666666667,3.66666666666667
"249",2024-02-25 03:10:00,2.624,2.602,2.604,2.45,2.554,2.746,2.686,3.166,2.654,2.402
"250",2024-02-25 03:20:00,1.616,1.715,1.576,1.75,1.992,1.856,1.72166666666667,1.95666666666667,2.134,1.77
"251",2024-02-25 03:30:00,3.164,3.02,2.978,3.226,4.06,3.458,3.086,3.402,3.44,3.076
"252",2024-02-25 03:40:00,2.754,2.682,2.928,2.832,3.3,2.652,3.026,3.484,3.138,2.582
"253",2024-02-25 03:50:00,3.674,3.42,3.416,3.484,4.062,3.836,3.568,4.168,4.142,3.44
"254",2024-02-25 04:00:00,5.81833333333333,6.524,6.308,6.43,7.116,6.042,6.676,6.818,7.02,5.762
"255",2024-02-25 04:10:00,7.352,7.13,7.656,6.97,7.87,7.72,7.71,7.97,7.604,7.238
"256",2024-02-25 04:20:00,8,7.468,7.958,8.406,8.748,8.052,7.906,8.304,8.59,7.338
"257",2024-02-25 04:30:00,7.506,7.946,7.796,7.594,8.314,7.604,7.548,8.274,8.188,7.362
