"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"83047",2024-02-22 23:04:06,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA
"83049",2024-02-22 23:04:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"83054",2024-02-22 23:04:13,NA,NA,NA,0,0.32,NA,NA,NA,NA,NA
"83056",2024-02-22 23:04:15,NA,NA,NA,NA,NA,0,NA,0.34,NA,NA
"83057",2024-02-22 23:04:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83059",2024-02-22 23:04:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"83080",2024-02-22 23:04:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"83166",2024-02-22 23:06:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83167",2024-02-22 23:06:06,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
"83169",2024-02-22 23:06:08,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA
"83174",2024-02-22 23:06:13,NA,NA,NA,0.04,0.3,NA,NA,NA,NA,NA
"83176",2024-02-22 23:06:15,NA,NA,NA,NA,NA,0.14,NA,0.11,NA,NA
"83177",2024-02-22 23:06:16,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA
"83179",2024-02-22 23:06:18,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA
"83200",2024-02-22 23:06:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53
"83286",2024-02-22 23:08:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83287",2024-02-22 23:08:06,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA
"83289",2024-02-22 23:08:08,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA
"83294",2024-02-22 23:08:13,NA,NA,NA,0.4,0.86,NA,NA,NA,NA,NA
"83296",2024-02-22 23:08:15,NA,NA,NA,NA,NA,0.91,NA,0.61,NA,NA
"83297",2024-02-22 23:08:16,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA
"83299",2024-02-22 23:08:18,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA
"83320",2024-02-22 23:08:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49
"83406",2024-02-22 23:10:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83407",2024-02-22 23:10:06,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA
"83409",2024-02-22 23:10:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"83414",2024-02-22 23:10:13,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"83416",2024-02-22 23:10:15,NA,NA,NA,NA,NA,0,NA,0.08,NA,NA
